,hs06,full_eng
0,010120,"Live horses, asses, mules and hinnies. && - Horses :"
1,010121,"Live horses, asses, mules and hinnies. && - Horses : && -- Pure-bred breeding animals"
2,010129,"Live horses, asses, mules and hinnies. && - Horses : && -- Other"
3,010130,"Live horses, asses, mules and hinnies. && - Asses"
4,010190,"Live horses, asses, mules and hinnies. && - Other"
5,010220,Live bovine animals. && - Cattle :
6,010221,Live bovine animals. && - Cattle : && -- Pure-bred breeding animals
7,010229,Live bovine animals. && - Cattle : && -- Other
8,010230,Live bovine animals. && - Buffalo :
9,010231,Live bovine animals. && - Buffalo : && -- Pure-bred breeding animals
10,010239,Live bovine animals. && - Buffalo : && -- Other
11,010290,Live bovine animals. && - Other
12,010310,Live swine. && - Pure-bred breeding animals
13,010390,Live swine. && - Other :
14,010391,Live swine. && - Other : && -- Weighing less than 50 kg
15,010392,Live swine. && - Other : && -- Weighing 50 kg or more
16,010410,Live sheep and goats. && - Sheep
17,010420,Live sheep and goats. && - Goats
18,010510,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. && - Weighing not more than 185 g :"
19,010511,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. && - Weighing not more than 185 g : && -- Fowls of the species Gallus domesticus"
20,010512,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. && - Weighing not more than 185 g : && -- Turkeys"
21,010513,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. && - Weighing not more than 185 g : && -- Ducks"
22,010514,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. && - Weighing not more than 185 g : && -- Geese"
23,010515,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. && - Weighing not more than 185 g : && -- Guinea fowls"
24,010590,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. && - Other :"
25,010594,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. && - Other : && -- Fowls of the species Gallus domesticus"
26,010599,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. && - Other : && -- Other"
27,010610,Other live animals. && - Mammals :
28,010611,Other live animals. && - Mammals : && -- Primates
29,010612,"Other live animals. && - Mammals : && -- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
30,010613,Other live animals. && - Mammals : && -- Camels and other camelids (Camelidae)
31,010614,Other live animals. && - Mammals : && -- Rabbits and hares
32,010619,Other live animals. && - Mammals : && -- Other
33,010620,Other live animals. && - Reptiles (including snakes and turtles)
34,010630,Other live animals. && - Birds :
35,010631,Other live animals. && - Birds : && -- Birds of prey
36,010632,"Other live animals. && - Birds : && -- Psittaciformes (including parrots, parakeets, macaws and cockatoos)"
37,010633,Other live animals. && - Birds : && -- Ostriches; emus (Dromaius novaehollandiae)
38,010639,Other live animals. && - Birds : && -- Other
39,010640,Other live animals. && - Insects :
40,010641,Other live animals. && - Insects : && -- Bees
41,010649,Other live animals. && - Insects : && -- Other
42,010690,Other live animals. && - Other
43,020110,"Meat of bovine animals, fresh or chilled. && - Carcasses and half-carcasses"
44,020120,"Meat of bovine animals, fresh or chilled. && - Other cuts with bone in"
45,020130,"Meat of bovine animals, fresh or chilled. && - Boneless"
46,020210,"Meat of bovine animals, frozen. && - Carcasses and half-carcasses"
47,020220,"Meat of bovine animals, frozen. && - Other cuts with bone in"
48,020230,"Meat of bovine animals, frozen. && - Boneless"
49,020310,"Meat of swine, fresh, chilled or frozen. && - Fresh or chilled :"
50,020311,"Meat of swine, fresh, chilled or frozen. && - Fresh or chilled : && -- Carcasses and half-carcasses"
51,020312,"Meat of swine, fresh, chilled or frozen. && - Fresh or chilled : && -- Hams, shoulders and cuts thereof, with bone in"
52,020319,"Meat of swine, fresh, chilled or frozen. && - Fresh or chilled : && -- Other"
53,020320,"Meat of swine, fresh, chilled or frozen. && - Frozen :"
54,020321,"Meat of swine, fresh, chilled or frozen. && - Frozen : && -- Carcasses and half-carcasses"
55,020322,"Meat of swine, fresh, chilled or frozen. && - Frozen : && -- Hams, shoulders and cuts thereof, with bone in"
56,020329,"Meat of swine, fresh, chilled or frozen. && - Frozen : && -- Other"
57,020410,"Meat of sheep or goats, fresh, chilled or frozen. && - Carcasses and half-carcasses of lamb, fresh or chilled"
58,020420,"Meat of sheep or goats, fresh, chilled or frozen. && - Other meat of sheep, fresh or chilled :"
59,020421,"Meat of sheep or goats, fresh, chilled or frozen. && - Other meat of sheep, fresh or chilled : && -- Carcasses and half-carcasses"
60,020422,"Meat of sheep or goats, fresh, chilled or frozen. && - Other meat of sheep, fresh or chilled : && -- Other cuts with bone in"
61,020423,"Meat of sheep or goats, fresh, chilled or frozen. && - Other meat of sheep, fresh or chilled : && -- Boneless"
62,020430,"Meat of sheep or goats, fresh, chilled or frozen. && - Carcasses and half-carcasses of lamb, frozen"
63,020440,"Meat of sheep or goats, fresh, chilled or frozen. && - Other meat of sheep, frozen :"
64,020441,"Meat of sheep or goats, fresh, chilled or frozen. && - Other meat of sheep, frozen : && -- Carcasses and half-carcasses"
65,020442,"Meat of sheep or goats, fresh, chilled or frozen. && - Other meat of sheep, frozen : && -- Other cuts with bone in"
66,020443,"Meat of sheep or goats, fresh, chilled or frozen. && - Other meat of sheep, frozen : && -- Boneless"
67,020450,"Meat of sheep or goats, fresh, chilled or frozen. && - Meat of goats"
68,020610,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen. && - Of bovine animals, fresh or chilled"
69,020620,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen. && - Of bovine animals, frozen :"
