,HS06,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,subtokenization_indicator,subtokenization_indicator,subtokenization_indicator,subtokenization_indicator,subtokenization_indicator,subtokenization_indicator
,count,sum,min,mean,median,max,std,sum,min,mean,median,max,std,sum,min,mean,median,max,std
HS04,,,,,,,,,,,,,,,,,,,
0101,7,35,2,5.0,6.0,7,2.0,203,15,29.0,31.0,46,11.40175425099138,9.238095238095239,1.0,1.3197278911564627,1.2857142857142858,1.6666666666666667,0.2556456792396402
0102,10,35,2,3.5,3.0,7,1.8408935028645435,179,8,17.9,15.5,34,9.757618106439251,13.333333333333334,1.0,1.3333333333333335,1.0,2.3333333333333335,0.49690399499995336
0103,2,3,1,1.5,1.5,2,0.7071067811865476,20,4,10.0,10.0,16,8.48528137423857,3.0,1.0,1.5,1.5,2.0,0.7071067811865476
0104,3,6,1,2.0,1.0,4,1.7320508075688772,33,4,11.0,9.0,20,8.18535277187245,3.5,1.0,1.1666666666666667,1.0,1.5,0.2886751345948129
0105,76,591,2,7.776315789473684,7.0,20,3.9007646573820236,3387,14,44.56578947368421,37.0,124,23.405033946463057,107.87458413189837,1.0,1.4194024227881366,1.2857142857142858,2.6875,0.411470093411046
0106,31,105,1,3.3870967741935485,3.0,8,1.7828333134805154,595,6,19.193548387096776,17.0,56,11.27953709108877,44.825,1.0,1.445967741935484,1.0,3.0,0.5697175671612545
0201,1,1,1,1.0,1.0,1,,4,4,4.0,4.0,4,,1.0,1.0,1.0,1.0,1.0,
0202,12,33,1,2.75,3.0,5,1.2154310870109943,194,4,16.166666666666668,18.0,24,6.899714530765791,21.15,1.0,1.7625,1.875,2.5,0.5145423091241262
0203,208,1298,1,6.240384615384615,6.0,14,3.0676595503831345,8216,8,39.5,39.0,89,14.113069969406116,715.2535020535021,1.0,3.4387187598726063,1.7817460317460316,33.0,5.543882975017464
0204,4,13,2,3.25,2.5,6,1.8929694486000912,82,13,20.5,15.0,39,12.476644848141934,6.833333333333333,1.3333333333333333,1.7083333333333333,1.75,2.0,0.3435921354681384
0206,5,14,1,2.8,3.0,4,1.3038404810405297,86,7,17.2,18.0,26,8.167006795638168,8.333333333333332,1.0,1.6666666666666665,1.5,3.0,0.7728015412913086
0207,38,125,2,3.289473684210526,3.0,5,0.8976815403791097,839,10,22.07894736842105,22.0,38,7.144764021020847,50.8,1.0,1.3368421052631578,1.25,2.6666666666666665,0.39979645524526514
0208,9,25,2,2.7777777777777777,3.0,4,0.6666666666666667,154,11,17.11111111111111,16.0,26,4.986091767217197,16.166666666666664,1.0,1.796296296296296,1.6666666666666667,2.6666666666666665,0.6860605019571373
0210,16,49,1,3.0625,2.0,10,2.2647663602823727,282,6,17.625,12.5,56,14.319567032560727,27.133333333333333,1.0,1.6958333333333333,1.55,3.2,0.7547258516250197
0301,5,13,1,2.6,2.0,5,1.51657508881031,92,8,18.4,18.0,34,9.762171889492624,7.5,1.0,1.5,1.0,2.5,0.7071067811865476
0302,8,15,1,1.875,2.0,2,0.3535533905932738,79,5,9.875,10.0,12,2.416461403433896,12.5,1.0,1.5625,1.5,3.0,0.6781013409302689
0303,14,35,1,2.5,2.5,4,0.9405399431259602,201,4,14.357142857142858,14.5,25,6.4044112544779255,18.5,1.0,1.3214285714285714,1.2916666666666665,2.0,0.3681455358022634
0304,20,73,1,3.65,3.0,9,1.8144159564878983,446,4,22.3,22.0,54,11.145449862234317,29.927777777777777,1.0,1.4963888888888888,1.4166666666666665,2.4444444444444446,0.44755953281391025
0305,8,24,1,3.0,2.0,7,2.0,168,9,21.0,13.5,50,15.955294687702528,15.923809523809524,1.0,1.9904761904761905,1.8333333333333335,3.4,0.9859788004877884
0306,1,2,2,2.0,2.0,2,,12,12,12.0,12.0,12,,1.5,1.5,1.5,1.5,1.5,
0307,5,18,2,3.6,2.0,6,2.1908902300206643,112,11,22.4,16.0,44,14.046351839534706,9.0,1.0,1.8,2.0,2.5,0.758287544405155
0308,1,2,2,2.0,2.0,2,,14,14,14.0,14.0,14,,1.5,1.5,1.5,1.5,1.5,
0401,37,198,2,5.351351351351352,5.0,15,2.9647579647906825,1035,8,27.972972972972972,26.0,88,15.150149406095867,54.3297619047619,1.0,1.4683719433719433,1.3333333333333333,2.8,0.44425204153813663
0402,155,514,1,3.3161290322580643,3.0,9,1.4358799225818755,3277,4,21.141935483870967,20.0,46,9.017615307827588,302.231746031746,1.0,1.9498822324628775,1.6666666666666667,10.0,1.2564155102409778
0403,451,3450,1,7.6496674057649665,7.0,20,4.211794932781264,22733,4,50.40576496674058,52.0,95,18.898368242968992,1885.1305401298048,1.0,4.17989033288205,1.9,36.0,6.8637025753953385
0404,1,3,3,3.0,3.0,3,,16,16,16.0,16.0,16,,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,
0405,136,471,1,3.463235294117647,3.0,15,1.76344817200214,2925,5,21.50735294117647,20.5,82,9.979234976637951,265.21666666666664,1.0,1.9501225490196077,1.6333333333333333,9.0,1.2289846358109833
0406,415,2068,1,4.983132530120482,5.0,15,2.6670660605396033,12771,4,30.773493975903616,28.0,84,13.47682824697242,991.8846403596403,1.0,2.3900834707461214,1.8,22.0,2.738820988429251
0407,8,26,2,3.25,3.0,5,1.1649647450214349,145,7,18.125,18.0,30,8.55966454616401,11.033333333333333,1.0,1.3791666666666667,1.4166666666666665,1.6666666666666667,0.2636360526444899
0409,29,110,1,3.793103448275862,3.0,11,2.076730093626372,652,5,22.482758620689655,24.0,39,9.120701295307647,47.248051948051945,1.0,1.6292431706224808,1.5,4.333333333333333,0.8301432554229157
0410,1,4,4,4.0,4.0,4,,14,14,14.0,14.0,14,,1.0,1.0,1.0,1.0,1.0,
0501,2,5,2,2.5,2.5,3,0.7071067811865476,27,11,13.5,13.5,16,3.5355339059327378,2.0,1.0,1.0,1.0,1.0,0.0
0504,1,2,2,2.0,2.0,2,,13,13,13.0,13.0,13,,1.5,1.5,1.5,1.5,1.5,
0506,3,10,2,3.3333333333333335,3.0,5,1.5275252316519468,58,12,19.333333333333332,16.0,30,9.451631252505216,3.8,1.0,1.2666666666666666,1.0,1.8,0.46188021535170054
0507,1,1,1,1.0,1.0,1,,5,5,5.0,5.0,5,,1.0,1.0,1.0,1.0,1.0,
0508,2,3,1,1.5,1.5,2,0.7071067811865476,19,5,9.5,9.5,14,6.363961030678928,3.0,1.0,1.5,1.5,2.0,0.7071067811865476
