,HS06,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,subtokenization_indicator,subtokenization_indicator,subtokenization_indicator,subtokenization_indicator,subtokenization_indicator,subtokenization_indicator
,count,sum,min,mean,median,max,std,sum,min,mean,median,max,std,sum,min,mean,median,max,std
HS02,,,,,,,,,,,,,,,,,,,
01,129,775,1,6.007751937984496,5.0,20,3.8598415690264396,4417,4,34.24031007751938,30.0,124,22.96797199151681,181.77101270332696,1.0,1.4090776178552478,1.2857142857142858,3.0,0.4513244466012993
02,293,1558,1,5.3174061433447095,5.0,14,3.047276590454048,9857,4,33.641638225255974,32.0,89,15.813486096130305,846.6701687201687,1.0,2.8896592789084257,1.6666666666666667,33.0,4.7562939896593655
03,62,182,1,2.935483870967742,2.0,9,1.6080837567079795,1124,4,18.129032258064516,14.5,54,10.857472868071538,96.3515873015873,1.0,1.554057859703021,1.4166666666666665,3.4,0.6081807079514239
04,1233,6844,1,5.550689375506893,5.0,20,3.5744722971296166,43568,4,35.33495539334955,30.0,95,19.138775987103642,3559.7414070406717,1.0,2.887057102222767,1.75,36.0,4.596942019053579
05,15,36,1,2.4,2.0,5,1.0555973258234952,205,5,13.666666666666666,14.0,30,5.802298395176403,20.883333333333333,1.0,1.3922222222222222,1.3333333333333333,2.0,0.4014293245958778
06,83,264,1,3.180722891566265,3.0,8,1.53133592492222,1928,4,23.228915662650603,22.0,57,11.845885671677697,169.22857142857143,1.0,2.0388984509466437,2.0,7.5,1.0677087496356434
07,264,813,1,3.0795454545454546,3.0,9,1.4841744968464883,4913,4,18.609848484848484,17.0,69,8.875311678549915,419.9301587301587,1.0,1.5906445406445406,1.5,5.5,0.681658447638696
08,317,821,1,2.589905362776025,2.0,10,1.4149827761631015,5250,4,16.561514195583594,15.0,42,7.823619398000274,601.5126984126985,1.0,1.8975163987782286,1.6666666666666667,8.0,0.9583875300747604
09,559,1981,1,3.5438282647584973,3.0,12,2.0879738457389716,11397,4,20.38819320214669,19.0,72,10.197578783116839,957.3515873015873,1.0,1.7126146463355765,1.5,9.0,0.7351130361600791
10,285,1413,1,4.957894736842105,4.0,11,2.5560579359590507,7969,4,27.96140350877193,28.0,73,13.307651013158406,454.45569985569983,1.0,1.5945814030024557,1.5,5.5,0.5870198237904936
11,330,1282,1,3.8848484848484848,4.0,13,1.8854943337884782,7677,3,23.263636363636362,22.0,94,11.429985578437696,605.557128982129,1.0,1.8350216029761486,1.6666666666666667,7.0,0.7680507448986383
12,317,1094,1,3.451104100946372,3.0,25,2.5022092223259933,7519,5,23.7192429022082,22.0,149,16.229954785407795,652.077461089635,1.0,2.0570266911344954,2.0,8.0,0.8534348484953408
13,55,171,1,3.109090909090909,3.0,15,1.9595230643528134,1084,5,19.70909090909091,19.0,77,10.237318672518384,143.3595238095238,1.0,2.6065367965367967,2.0,18.0,2.3708126337481517
14,11,23,1,2.090909090909091,2.0,3,0.5393598899705937,148,6,13.454545454545455,12.0,24,5.3733348372055945,16.666666666666668,1.0,1.5151515151515154,1.5,2.5,0.4798989792685856
15,645,2581,1,4.001550387596899,4.0,12,1.7180980608228125,15523,3,24.066666666666666,23.0,57,9.770037010595496,1075.3480158730158,1.0,1.6672062261597145,1.5,8.0,0.60765563254751
16,167,710,1,4.251497005988024,4.0,16,2.229913183447704,4340,6,25.98802395209581,24.0,129,16.55912663721655,294.0369769119769,1.0,1.76070046055076,1.625,7.666666666666667,0.7264483053028722
17,1755,9215,1,5.250712250712251,5.0,16,2.756115477529373,53400,3,30.427350427350426,27.0,100,13.120298738400901,3636.1954462204462,1.0,2.0719062371626475,1.75,24.0,1.6849305448049008
18,1424,6686,1,4.695224719101123,5.0,15,2.267080483783214,40802,4,28.653089887640448,26.0,94,12.477798313045298,2928.7311605061604,1.0,2.0566932306925283,1.6,23.0,1.993718459601417
19,2120,8593,1,4.053301886792453,4.0,17,2.1570014938454167,54854,4,25.87452830188679,25.0,100,11.548298652159248,5132.978111431053,1.0,2.4212160902976665,1.8333333333333333,32.0,2.3216875159398
20,1022,4122,1,4.033268101761252,4.0,18,2.06478540540234,25302,3,24.7573385518591,24.0,102,11.281624175450228,2085.330611055611,1.0,2.040440911013318,1.6666666666666667,24.0,2.0797831949883907
21,1913,7655,1,4.0015682174594875,4.0,20,2.2401569094012816,47986,3,25.084161003659172,24.0,150,13.341457276421595,3837.4125517757097,1.0,2.0059657876506587,1.7142857142857142,15.0,1.461329543568682
22,2612,12331,1,4.720903522205207,4.0,20,2.4157610484080547,76154,3,29.15543644716692,27.0,100,13.40328267699795,5637.870321345321,1.0,2.1584495870387905,2.0,17.0,1.1083409626260718
23,383,1631,1,4.258485639686684,4.0,14,2.170367981967404,9831,4,25.66840731070496,25.0,84,12.622062431399451,767.3007242757243,1.0,2.003396146934006,1.8333333333333333,8.0,0.9666346457204836
24,79,511,1,6.468354430379747,6.0,19,4.168980208076395,3283,3,41.55696202531646,36.0,99,24.70323701172609,166.48783789310104,1.0,2.107440985988621,2.0,8.0,0.9752360584267233
25,610,2811,1,4.608196721311476,4.0,21,3.5754497268755587,17751,6,29.1,23.0,127,21.76093802310278,1254.131910873784,1.0,2.055953952252105,1.8973684210526316,11.0,0.9992212917504891
26,37,151,1,4.081081081081081,3.0,13,3.130303307796036,1024,3,27.675675675675677,19.0,91,23.95720032573605,71.4431623931624,1.0,1.930896280896281,2.0,3.4,0.6135725988738866
27,1433,6649,1,4.639916259595255,4.0,18,2.642079550377799,37959,2,26.489183531053733,22.0,113,15.134362893259429,2832.891069469746,1.0,1.976895372972607,1.7777777777777777,11.0,0.9551427201483422
28,1408,6215,1,4.4140625,4.0,23,2.5181080603549812,42222,3,29.98721590909091,27.0,149,16.606268027502544,3029.1193531106574,1.0,2.151363176925183,2.0,9.0,0.8510349830293649
29,1540,6056,1,3.9324675324675327,3.0,23,2.5535177005003185,41847,3,27.173376623376623,23.0,124,16.327000969277385,4068.923390739695,1.0,2.642158045934867,2.3333333333333335,25.0,1.4467875372068375
30,2665,13516,1,5.071669793621013,4.0,26,3.0567278642803934,92247,4,34.61425891181989,29.0,150,21.823474995320446,6329.053057184474,1.0,2.374879195941641,2.2,10.25,1.0217297996827555
31,240,1227,1,5.1125,4.0,17,2.9754662796929754,8641,4,36.00416666666667,31.0,98,19.91666695844494,544.1867020234668,1.0,2.267444591764445,2.0,9.0,0.984122835050667
32,2107,9402,1,4.462268628381585,4.0,21,2.4498532192359477,57282,4,27.186521120075938,25.0,133,14.511934656802001,4148.470375457876,1.0,1.9688990865960494,1.75,11.0,0.9466964425556663
33,3447,16102,1,4.671308384102118,4.0,21,2.60744683357068,94669,3,27.464171743545112,26.0,135,13.744975605103452,6063.1519175011435,1.0,1.7589648730783707,1.6,9.0,0.70060558908596
34,1942,7965,1,4.101441812564366,4.0,16,2.2152364480630067,49998,2,25.74562306900103,24.0,113,13.779643943914676,3627.9130550005552,1.0,1.8681323661176907,1.6666666666666667,27.0,1.0443841700376169
35,792,2993,1,3.779040404040404,3.0,23,2.579294210223287,19088,2,24.1010101010101,20.0,144,16.106704840660957,1699.7460385563495,1.0,2.146143988076199,2.0,11.0,1.1069876030778214
36,191,814,1,4.261780104712042,4.0,14,1.9505882982542224,4704,6,24.6282722513089,24.0,77,10.57917699759966,436.68333333333334,1.0,2.2863001745200697,2.0,12.5,1.384605072103992
37,225,1072,1,4.764444444444444,4.0,11,2.2741909428287768,6520,4,28.977777777777778,27.0,69,12.785819588109423,447.7551587301587,1.0,1.9900229276895942,1.75,6.333333333333333,0.8111257718531873
38,3857,17756,1,4.603577910292974,4.0,26,2.9287382850172894,120224,3,31.170339642208972,26.0,150,20.116215041276924,9079.447805163532,1.0,2.3540180983052976,2.0,20.0,1.2311318483502143
39,12218,53412,1,4.371582910459977,4.0,37,2.606070409323344,336750,2,27.56179407431658,24.0,149,16.080524647448858,23964.39500353805,1.0,1.9614008023848462,1.7142857142857142,17.0,1.0140383613423145
40,7526,36418,1,4.838958277969705,4.0,27,2.9449166164980167,226624,3,30.112144565506245,26.0,150,17.772416381893365,17189.634164863717,1.0,2.284033240082875,2.0,23.0,1.4913204630365506
41,22,81,1,3.6818181818181817,3.0,13,2.801128405896514,501,4,22.772727272727273,17.0,87,19.326596079426817,35.77564102564102,1.0,1.626165501165501,1.6333333333333333,3.0,0.5098170071493942
42,1729,6872,1,3.974551764025448,3.0,18,2.376203432631696,41625,3,24.074609600925392,20.0,123,14.770845583788226,2589.9777776145424,1.0,1.4979628557631826,1.3333333333333333,9.0,0.6415661872962991
43,5,15,1,3.0,2.0,7,2.5495097567963922,95,3,19.0,9.0,56,22.169799277395363,9.821428571428571,1.0,1.9642857142857142,2.25,3.0,0.9195995135416952
44,1058,4238,1,4.005671077504726,3.0,21,2.9376951773617668,26503,3,25.050094517958414,20.0,150,20.84951589705343,1800.6230719572825,1.0,1.701912166311231,1.5,8.0,0.8138593407675736
45,19,85,2,4.473684210526316,3.0,16,3.5491535931923512,494,10,26.0,21.0,100,20.488479147505746,26.799080086580087,1.0,1.4104778992936888,1.5,2.0625,0.3202699703018446
46,32,112,1,3.5,2.5,15,2.794002794004191,703,4,21.96875,18.0,84,15.409432333434923,50.98809523809524,1.0,1.5933779761904763,1.4166666666666665,4.0,0.7205315087998301
47,63,245,1,3.888888888888889,4.0,10,1.8674729441500932,1460,4,23.174603174603174,21.0,81,12.471308597995696,82.3047619047619,1.0,1.306424792139078,1.0,4.0,0.5297515290791929
48,4024,18492,1,4.595427435387674,4.0,27,2.9159813135260304,113049,3,28.093687872763418,24.0,150,17.093982728034177,6985.37460115707,1.0,1.7359280817984766,1.5,19.0,0.9383291356944279
49,1974,8219,1,4.163627152988855,4.0,26,2.5454956519970393,55275,3,28.001519756838906,25.0,150,16.5870661366364,3268.402722277722,1.0,1.6557257964932737,1.4,12.5,0.878894260825366
50,11,27,1,2.4545454545454546,2.0,4,1.0357254813546264,172,4,15.636363636363637,13.0,33,8.812181651245362,16.166666666666668,1.0,1.4696969696969697,1.3333333333333333,2.5,0.5630678951471613
51,6,20,1,3.3333333333333335,3.0,6,1.96638416050035,123,8,20.5,18.0,38,11.878552100319297,9.4,1.0,1.5666666666666667,1.45,3.0,0.7393691004272944
52,266,1349,1,5.071428571428571,4.0,17,3.461727596371858,8668,4,32.58646616541353,28.0,113,20.95948574176447,458.03607675004736,1.0,1.7219401381580728,1.6,4.4,0.6618974862750936
53,34,116,1,3.411764705882353,2.5,15,2.89322769384187,715,5,21.029411764705884,15.0,99,17.863939119231652,55.90357142857143,1.0,1.6442226890756304,1.5,4.0,0.6904329073084097
54,459,2109,1,4.594771241830065,4.0,14,2.6706505475480604,14647,5,31.910675381263616,27.0,87,18.292464963303715,931.7422272172272,1.0,2.0299394928479897,1.75,13.0,1.2024985110190685
55,468,1972,1,4.213675213675214,3.0,15,2.5390451925038744,13392,6,28.615384615384617,25.5,90,14.487443372915932,831.902639027639,1.0,1.777569741512049,1.6666666666666667,6.25,0.7462275393980264
56,684,2985,1,4.364035087719298,4.0,24,2.8082589092275767,17993,3,26.305555555555557,22.0,150,17.829070430046105,1181.7527473946911,1.0,1.7277086950214782,1.5,6.0,0.7633679003297181
57,468,1909,1,4.079059829059829,4.0,20,2.3595787679481206,11397,3,24.352564102564102,22.0,149,13.801345783856041,772.8586588248353,1.0,1.6514073906513576,1.5,8.0,0.786984560168312
58,377,1432,1,3.7984084880636604,3.0,14,2.472550929435259,9305,3,24.681697612732094,20.0,100,16.67905774686365,649.9287101787102,1.0,1.723948833365279,1.5,10.5,1.1823906540436366
59,578,2709,1,4.686851211072664,4.0,24,2.9986478955345315,17796,4,30.78892733564014,26.0,143,20.086478941875445,1088.5706817692112,1.0,1.883340279877528,1.6666666666666667,12.0,1.0578587209307466
60,90,334,1,3.7111111111111112,3.0,12,2.1993075746107738,2176,4,24.177777777777777,22.0,71,13.292371536849922,147.60411255411256,1.0,1.6400456950456952,1.5,4.5,0.6138917340170069
61,3793,14587,1,3.8457685209596626,4.0,25,2.2617936681419937,86074,3,22.6928552596889,20.0,149,13.478624039817063,6244.102392056688,1.0,1.6462173456516445,1.5,12.0,0.7644189292593887
62,3485,13812,1,3.963271162123386,4.0,25,2.5419160435450325,83074,3,23.837589670014346,20.0,150,15.783844831943917,5623.134348585188,1.0,1.6135249206844153,1.5,10.0,0.6769479170095818
63,3022,12506,1,4.138318994043679,4.0,22,2.4408380502301044,76887,3,25.442422236929186,22.0,149,15.252714839873683,4911.051498355446,1.0,1.625099767821127,1.5,21.0,0.8504991257511273
64,1897,7700,1,4.059040590405904,4.0,25,2.3919021540378265,47880,4,25.239852398523986,22.0,150,15.033294048079041,3473.1947866593255,1.0,1.8308881321345944,1.6,14.0,0.9500163379198303
65,689,2591,1,3.760522496371553,3.0,29,2.7548810308328364,15320,3,22.235123367198838,18.0,150,16.234380239642096,1051.2983011342358,1.0,1.525832077117904,1.3333333333333333,9.0,0.7121962670242906
66,158,641,1,4.056962025316456,3.0,17,2.840210970198628,4261,7,26.968354430379748,21.0,100,17.93598698488563,250.26947839741956,1.0,1.5839840404899972,1.5,6.0,0.6590552353890935
67,233,779,1,3.3433476394849784,3.0,14,2.187870351743829,4977,4,21.36051502145923,17.0,88,14.711846730317992,311.38603896103893,1.0,1.3364207680731284,1.0,5.0,0.5005838217507736
68,1533,6693,1,4.365949119373777,4.0,18,2.5576515194724236,42107,4,27.46705805609915,24.0,111,15.508432525376223,2994.081419887302,1.0,1.953086379574235,1.6,16.0,1.2700690269724368
69,2422,11014,1,4.54748142031379,4.0,23,2.926473309153513,67240,2,27.762180016515277,24.0,150,17.257375937315807,4282.989997246998,1.0,1.7683691152960357,1.5,15.0,0.903294991043107
70,2701,12460,1,4.613106256941873,4.0,28,2.9040645869835524,76719,3,28.40392447241762,24.0,150,17.7290963860792,4614.795258740788,1.0,1.70855063263265,1.5,13.5,0.8916367721530356
71,392,1270,1,3.239795918367347,3.0,21,2.163082001083271,8432,5,21.510204081632654,19.0,150,14.287150092259678,623.302380952381,1.0,1.590057094266278,1.5,7.0,0.7150886604000348
72,1699,8987,1,5.289582107121836,4.0,34,3.6071455719781724,54785,2,32.24543849323131,27.0,150,21.726898053502264,3285.0535772492044,1.0,1.93352182298364,1.6666666666666667,25.0,1.3826133395285598
73,16173,73862,1,4.56699437333828,4.0,37,3.130722922914893,443120,3,27.39875100476102,23.0,150,18.448894346816015,31715.655466921966,1.0,1.9610248851123457,1.6666666666666667,25.0,1.2013273075677375
74,893,4100,1,4.591265397536394,4.0,24,3.038580745766595,24924,4,27.91041433370661,23.0,150,18.722927634928094,1641.1029611255617,1.0,1.8377412778561721,1.6,30.0,1.3131918177448512
