,HS06,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_words,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,GOODS_DESCRIPTION_len_chars,subtokenization_indicator,subtokenization_indicator,subtokenization_indicator,subtokenization_indicator,subtokenization_indicator,subtokenization_indicator,cosine_sim_gd_vs_hs_text,cosine_sim_gd_vs_hs_text,cosine_sim_gd_vs_hs_text,cosine_sim_gd_vs_hs_text,cosine_sim_gd_vs_hs_text,cosine_sim_gd_vs_hs_text
,count,sum,min,mean,median,max,std,sum,min,mean,median,max,std,sum,min,mean,median,max,std,sum,min,mean,median,max,std
HS06,,,,,,,,,,,,,,,,,,,,,,,,,
10121,5,30,4,6.0,6.0,7,1.224744871391589,172,24,34.4,33.0,46,8.203657720797473,6.738095238095238,1.0,1.3476190476190477,1.2857142857142858,1.6666666666666667,0.2517512359597392,4.493902206420898,0.8899133205413818,0.8987804412841797,0.8949782848358154,0.9127863645553588,0.009313581709791989
10130,1,2,2,2.0,2.0,2,,16,16,16.0,16.0,16,,1.5,1.5,1.5,1.5,1.5,,0.8223311305046082,0.8223311305046082,0.8223311305046082,0.8223311305046082,0.8223311305046082,
10190,1,3,3,3.0,3.0,3,,15,15,15.0,15.0,15,,1.0,1.0,1.0,1.0,1.0,,0.8667457699775696,0.8667457699775696,0.8667457699775696,0.8667457699775696,0.8667457699775696,
10221,5,20,2,4.0,3.0,7,2.345207879911715,103,8,20.6,19.0,34,11.631852818876277,7.0,1.0,1.4,1.3333333333333333,2.0,0.43461349368017654,4.574999392032623,0.8760373592376709,0.9149998784065246,0.9157768487930298,0.9376436471939088,0.024418616131461655
10229,2,8,3,4.0,4.0,5,1.4142135623730951,47,22,23.5,23.5,25,2.1213203435596424,3.333333333333333,1.0,1.6666666666666665,1.6666666666666665,2.333333333333333,0.9428090415820631,1.8129836916923523,0.8885804414749146,0.9064918458461761,0.9064918458461761,0.9244032502174376,0.025330550982986852
10231,1,2,2,2.0,2.0,2,,9,9,9.0,9.0,9,,1.0,1.0,1.0,1.0,1.0,,0.8473905920982361,0.8473905920982361,0.8473905920982361,0.8473905920982361,0.8473905920982361,
10290,2,5,2,2.5,2.5,3,0.7071067811865476,20,8,10.0,10.0,12,2.8284271247461903,2.0,1.0,1.0,1.0,1.0,0.0,1.8756909370422363,0.9342601299285888,0.9378454685211182,0.9378454685211182,0.9414308071136476,0.005070434463254753
10310,1,2,2,2.0,2.0,2,,16,16,16.0,16.0,16,,2.0,2.0,2.0,2.0,2.0,,0.8970619440078735,0.8970619440078735,0.8970619440078735,0.8970619440078735,0.8970619440078735,
10392,1,1,1,1.0,1.0,1,,4,4,4.0,4.0,4,,1.0,1.0,1.0,1.0,1.0,,0.8601569533348083,0.8601569533348083,0.8601569533348083,0.8601569533348083,0.8601569533348083,
10420,3,6,1,2.0,1.0,4,1.7320508075688772,33,4,11.0,9.0,20,8.18535277187245,3.5,1.0,1.1666666666666667,1.0,1.5,0.2886751345948129,2.7432274222373962,0.9019899368286132,0.9144091407457987,0.9191901683807372,0.9220473170280457,0.010849806175719488
10511,75,586,2,7.8133333333333335,7.0,20,3.9135707526549255,3360,14,44.8,37.0,124,23.47281348652038,106.47458413189837,1.0,1.419661121758645,1.2857142857142858,2.6875,0.4142347447725268,64.86517506837845,0.7992037534713745,0.8648690009117126,0.8646424412727356,0.909878432750702,0.024899161572790023
10599,1,5,5,5.0,5.0,5,,27,27,27.0,27.0,27,,1.4,1.4,1.4,1.4,1.4,,0.871214747428894,0.871214747428894,0.871214747428894,0.871214747428894,0.871214747428894,
10611,1,3,3,3.0,3.0,3,,18,18,18.0,18.0,18,,1.0,1.0,1.0,1.0,1.0,,0.9006444215774536,0.9006444215774536,0.9006444215774536,0.9006444215774536,0.9006444215774536,
10613,2,3,1,1.5,1.5,2,0.7071067811865476,17,6,8.5,8.5,11,3.5355339059327378,4.5,1.5,2.25,2.25,3.0,1.0606601717798212,1.7648720145225525,0.8537651300430298,0.8824360072612762,0.8824360072612762,0.9111068844795228,0.04054674340717798
10619,24,89,1,3.7083333333333335,3.5,8,1.8528278426483,500,6,20.833333333333332,20.0,56,11.746106354565057,34.075,1.0,1.4197916666666668,1.0,2.5,0.5361272634672203,21.709120631217957,0.8807149529457092,0.9045466929674149,0.9068281650543212,0.9297103881835938,0.01392610086929628
10631,1,2,2,2.0,2.0,2,,10,10,10.0,10.0,10,,1.0,1.0,1.0,1.0,1.0,,0.925621509552002,0.925621509552002,0.925621509552002,0.925621509552002,0.925621509552002,
10639,2,6,2,3.0,3.0,4,1.4142135623730951,41,12,20.5,20.5,29,12.020815280171307,3.25,1.5,1.625,1.625,1.75,0.1767766952966369,1.8007160425186157,0.8957342505455017,0.9003580212593079,0.9003580212593079,0.904981791973114,0.006538999252768188
10690,1,2,2,2.0,2.0,2,,9,9,9.0,9.0,9,,1.0,1.0,1.0,1.0,1.0,,0.9399292469024658,0.9399292469024658,0.9399292469024658,0.9399292469024658,0.9399292469024658,
20130,1,1,1,1.0,1.0,1,,4,4,4.0,4.0,4,,1.0,1.0,1.0,1.0,1.0,,0.8529194593429565,0.8529194593429565,0.8529194593429565,0.8529194593429565,0.8529194593429565,
20220,6,21,2,3.5,3.5,5,1.0488088481701516,117,11,19.5,21.5,24,5.0099900199501395,9.983333333333333,1.0,1.6638888888888888,1.625,2.333333333333333,0.47027375794042275,5.165255844593048,0.8380045890808105,0.8608759740988413,0.869947612285614,0.8783408999443054,0.017610317839296567
20230,6,12,1,2.0,2.0,3,0.8944271909999159,77,4,12.833333333333334,12.5,22,7.277820186475251,11.166666666666666,1.0,1.861111111111111,2.0,2.5,0.5813458204571208,4.991667985916138,0.7862744927406311,0.8319446643193563,0.8224417567253113,0.8883580565452576,0.04746641498959409
