,Description,True Label,Top1,Proba Top1,Top2,Proba Top2,Top3,Proba Top3
237002,MOTORCYCLE FREE REPLACEMENT PARTS BIG FOOTREST,8714,4010,0.920284628868103,4203,0.032573867589235306,6506,0.0253128744661808
53352,16.9 - 28 LOOSE TUBE,4013,4013,0.9999406337738037,7304,3.0859944672556594e-05,7303,1.1549062946869526e-05
199175,CONNECTOR 15 AMP,8536,8536,0.5804969668388367,8544,0.2562065124511719,8538,0.03242196515202522
90177,PRIME QUALITY HOT ROLLED EQUAL ANGLES,7216,7216,0.5677515864372253,7306,0.20198574662208557,7608,0.053921863436698914
41870,QuickDraw Mounting Adhesive Adhesi,3919,3006,0.6851261854171753,9018,0.05219118297100067,9027,0.037411291152238846
201417,POLYTRON 5100 EC d S RELAY SERIAL ARNJ - 0921,8536,8455,0.31201645731925964,8477,0.19640909135341644,8474,0.12725384533405304
55565,SEAL KIT TILT ARM CYLINDER,4016,4016,0.9613446593284607,8484,0.00924187246710062,8487,0.0077032833360135555
12810,POTENZHI CAP,2106,2106,0.3307713568210602,3004,0.31777238845825195,2936,0.13800369203090668
124789,CYLINDER 140 x 70 x 420 for PISTON ROD,8412,6912,0.21821720898151398,7323,0.17356982827186584,7310,0.11098746955394745
139504,MOUSE - TRAP TYPE LOAD CELL UNIT C / W 4 X 1,8423,7304,0.5068210959434509,7306,0.22522567212581635,7303,0.09242256730794907
248076,CU 710520 1 PC COVER NO . 3643,9027,8302,0.009323177859187126,7616,0.008090916089713573,8205,0.008014688268303871
222508,USED SUZUK CARRY TRUCK,8704,8716,0.2988463342189789,4011,0.1555556356906891,8708,0.09856658428907394
91767,AQUALOCK FLANGE PN 16,7307,7307,0.7932161092758179,3917,0.15097598731517792,7507,0.008612225763499737
105177,KITCHEN SINK - 7545,7324,7324,0.8929659724235535,9403,0.06390126049518585,3922,0.018869372084736824
261485,Little Tike Cozy Coupe Shopping Cart,9503,9503,0.9957036375999451,8715,0.003057654947042465,9506,0.0007432766142301261
208118,CABLE INSTRUMENT 3 M MEAS CABL MEMOSENS,8544,8203,0.6432673931121826,3920,0.1349758803844452,3919,0.061149075627326965
231972,BRAND NEW HONDA MOTORCYCLES MODEL XL 125 LEKE CHASS LTMJD 2192 F 5335990,8711,8711,0.9999725818634033,6109,1.2801062439393718e-05,8703,1.018161310639698e-05
154535,BEYOND BY BLACK + DECKER 20 V MAX HEDGE TRIMMER KIT 18 INCH,8467,8516,0.790088951587677,8438,0.07718420773744583,8419,0.04693801701068878
189946,Motorola Mt 999,8517,2103,0.3526122570037842,2202,0.18374638259410858,7013,0.15639404952526093
146752,Ic psd 9566 KLCD v 2.21,8432,8443,0.4648033380508423,8432,0.097703717648983,1209,0.04166603460907936
157114,HP Probook 650 G 5 serial number 5 CG 9500 PMD ,8471,8470,0.5612576007843018,8471,0.1782795488834381,8467,0.1176450327038765
235278,AIR GRID FOR MOTORCYCLE,8714,8714,0.4710594713687897,6506,0.24900859594345093,4010,0.2428150177001953
120276,PIVOT,8302,8302,0.9968385696411133,7326,0.001988586038351059,7616,0.00033124422770924866
93736,CROSS FASTENERS,7308,8431,0.37379708886146545,8483,0.09431087970733643,8428,0.06191108375787735
243287,Insulin Delivery Device for Lilly 3 mL Insulin cartridges 100 units / mL HumaPen Ergo II,9018,9018,0.20574736595153809,3004,0.12054693698883057,3923,0.0930003896355629
8737,GALBUSERA BELLEBUONE FETTE MUESLI 200 GR,1904,1806,0.829197108745575,2106,0.07673585414886475,1905,0.02510882169008255
227060,HVAC UNIT,8708,8431,0.6040025353431702,8474,0.07344070076942444,8428,0.03575592488050461
