,Description,True Label,Top1,Proba Top1,Top2,Proba Top2,Top3,Proba Top3
237002,MOTORCYCLE FREE REPLACEMENT PARTS BIG FOOTREST,8714,8714,0.845186173915863,8708,0.06544288992881775,9506,0.014821224845945835
53352,16.9 - 28 LOOSE TUBE,4013,4013,0.28048667311668396,7307,0.0687299594283104,8422,0.04137280955910683
199175,CONNECTOR 15 AMP,8536,8536,0.7624760866165161,8504,0.06024908274412155,8535,0.030504679307341576
90177,PRIME QUALITY HOT ROLLED EQUAL ANGLES,7216,7210,0.08782602101564407,7208,0.04925594851374626,7318,0.04705996438860893
41870,QuickDraw Mounting Adhesive Adhesi,3919,3506,0.08816841244697571,3919,0.07493753731250763,3005,0.03728020191192627
201417,POLYTRON 5100 EC d S RELAY SERIAL ARNJ - 0921,8536,8536,0.5119255781173706,8517,0.14357808232307434,8504,0.06937144696712494
55565,SEAL KIT TILT ARM CYLINDER,4016,8484,0.17980274558067322,8409,0.1607947051525116,8412,0.13498273491859436
12810,POTENZHI CAP,2106,8484,0.12918974459171295,8309,0.08188828080892563,4016,0.07392879575490952
124789,CYLINDER 140 x 70 x 420 for PISTON ROD,8412,8412,0.28256699442863464,8409,0.19347655773162842,8484,0.11384513229131699
139504,MOUSE - TRAP TYPE LOAD CELL UNIT C / W 4 X 1,8423,8536,0.06925961375236511,9018,0.06357761472463608,3822,0.04317614808678627
248076,CU 710520 1 PC COVER NO . 3643,9027,8471,0.2116285264492035,8473,0.12106048315763474,8443,0.11384723335504532
222508,USED SUZUK CARRY TRUCK,8704,8704,0.8782898783683777,8705,0.07777830213308334,8701,0.014274431392550468
91767,AQUALOCK FLANGE PN 16,7307,8301,0.26567137241363525,7318,0.06892284005880356,7307,0.04220088571310043
105177,KITCHEN SINK - 7545,7324,7323,0.2347944974899292,8516,0.14466828107833862,7324,0.12811169028282166
261485,Little Tike Cozy Coupe Shopping Cart,9503,9503,0.8950217962265015,9506,0.014021982438862324,4202,0.012160222977399826
208118,CABLE INSTRUMENT 3 M MEAS CABL MEMOSENS,8544,8544,0.13822819292545319,8517,0.0839051902294159,8536,0.04963969811797142
231972,BRAND NEW HONDA MOTORCYCLES MODEL XL 125 LEKE CHASS LTMJD 2192 F 5335990,8711,8711,0.997774064540863,8703,0.0006738331285305321,8712,0.0006354149081744254
154535,BEYOND BY BLACK + DECKER 20 V MAX HEDGE TRIMMER KIT 18 INCH,8467,8708,0.03222250938415527,8431,0.027658818289637566,9405,0.027050767093896866
189946,Motorola Mt 999,8517,8517,0.24520640075206757,8471,0.18404433131217957,8523,0.05270593985915184
146752,Ic psd 9566 KLCD v 2.21,8432,8517,0.22315390408039093,8536,0.10190597921609879,8471,0.061519116163253784
157114,HP Probook 650 G 5 serial number 5 CG 9500 PMD ,8471,8471,0.8039612174034119,8473,0.06598372012376785,8528,0.03394776210188866
235278,AIR GRID FOR MOTORCYCLE,8714,8714,0.883276641368866,4013,0.025757241994142532,8711,0.017312610521912575
120276,PIVOT,8302,7318,0.3426894247531891,8483,0.08344675600528717,8708,0.0503423772752285
93736,CROSS FASTENERS,7308,7307,0.058602266013622284,7318,0.05545065924525261,8708,0.045048195868730545
243287,Insulin Delivery Device for Lilly 3 mL Insulin cartridges 100 units / mL HumaPen Ergo II,9018,9018,0.6383101940155029,3822,0.10239850729703903,3004,0.056300628930330276
8737,GALBUSERA BELLEBUONE FETTE MUESLI 200 GR,1904,0406,0.21688981354236603,0403,0.1384364515542984,2204,0.11268214136362076
227060,HVAC UNIT,8708,8504,0.17141945660114288,8537,0.11682603508234024,9032,0.08446896821260452
194203,REOLINK 4 MP 16 CH POE SECURITY CAMERA SYSTEM FOR HOME,8525,8525,0.4046901762485504,8517,0.12201445549726486,8471,0.0903153344988823
215449,USED 2011 NISSAN JUKE CHASSIS No YF 15 - 045923,8703,8703,0.9956468939781189,8704,0.0028976977337151766,8702,0.0012097166618332267
175118,TUBE ID 3 / 8 BSW F 32 FT LONG 11 X 22 MM FLEXIBLE DRIVE C / W,8483,4010,0.08589495718479156,7307,0.07878150790929794,8431,0.0710776224732399
91605,391 - 407 MM THOMAS COUPLING,7307,8483,0.2227392941713333,7307,0.16632410883903503,8708,0.05673057958483696
70629,SPORT T - SHIRT MATERIAL COTTON,6109,6205,0.2893843352794647,6109,0.15114465355873108,6203,0.13536402583122253
143554,COTTON BUCKET,8431,3924,0.08183411508798599,7323,0.06415115296840668,7324,0.06402420997619629
139731,1126000585 PISTORA NERA DI SOFFISGGIO STT SIR GUN BLOWING W / CURVED NOZZLE PLASTIC 1151 / U,8424,8414,0.14516183733940125,8481,0.031512726098299026,8424,0.0276515930891037
58800,USED KICHEN WARE,4419,6911,0.1145336702466011,6912,0.10278664529323578,6907,0.08756103366613388
237608,PEDAL Y TYPE,8714,8708,0.2351219654083252,8714,0.17301130294799805,8483,0.06492879986763
186633,GRIMAC COFFEE MACHINE,8516,8516,0.317015677690506,8438,0.20943190157413483,8418,0.16523483395576477
200483,JUNCTION CIRCUIT BOARD,8536,8536,0.3285481333732605,8537,0.2448088377714157,8538,0.15934878587722778
266777,STATIONARY - ITEM - SEAL - 840 - SELF - INKING - COMPANY - STAMP HL - 460,9611,9611,0.4381273090839386,8442,0.15062248706817627,4821,0.08338481187820435
254113,CARCASE,9403,8708,0.13998974859714508,8714,0.09700020402669907,8418,0.04940654709935188
93578,3 15 MM VYTEC MILD STEEL - CODE E / 6013 / 32 / V,7308,7307,0.11411638557910919,7306,0.1063208058476448,8311,0.10074270516633987
248042,CLINDIAG SERUM CUPS FOR FA 200 / 300 200 PCS / BAG ,9027,3923,0.14124849438667297,9018,0.1258615404367447,3004,0.07834038138389587
23436,STERILE COTTON SWABS 100 ,3005,3005,0.14319325983524323,4015,0.1062951385974884,3306,0.07670395821332932
92696,JASON T - PIECE 90 PP 25 MM CLAMP 16 BAR BLACK / BLUE DVGW / KIWA WRAS,7307,8204,0.15872636437416077,8202,0.04933523014187813,8205,0.04512663558125496
229604,SUN GEAR 17 T,8708,4011,0.1529061645269394,8708,0.11188638210296631,8714,0.06747375428676605
177926,SERVO MOTOR 7224085 R,8501,8501,0.20638424158096313,8511,0.15376174449920654,8483,0.07493904232978821
9149,BC VANILLA CAKE MI 249 450 G,1905,1806,0.2693590223789215,1905,0.26555466651916504,1904,0.08663926273584366
260981,Carry Bear 70 cm,9503,8425,0.29206737875938416,9503,0.12824244797229767,4202,0.051076602190732956
50309,BELT V 9.5 X TEETH 9.5 X 1050 La BRAND FUJUUNITA,4010,4010,0.8084198832511902,7318,0.040948536247015,4011,0.023583674803376198
257380,SCATTER CUSHION COVERS,9404,9404,0.26246607303619385,6304,0.10110802948474884,6302,0.09636228531599045
127236,PIPETTE,8413,3917,0.05258830636739731,7307,0.04765775054693222,8481,0.04202045127749443
200055,FUSE MINI 25 A 32 V,8536,8536,0.43072715401649475,8504,0.1633121520280838,8511,0.06318455189466476
219165,USED TOYOTA RACTIS CHASS SCP 100 - 0009386,8703,8703,0.9726245999336243,8704,0.016490688547492027,8702,0.010675794444978237
245531,STENT RSINT 22530 X MICROTRAC 2.25 X 30 RX,9021,3822,0.10699723660945892,3002,0.06434259563684464,8471,0.0429510623216629
174721,SPARE FOR GRAB GRAB COUPLER / CONNECTOR,8483,8536,0.43858447670936584,8431,0.04313681274652481,8544,0.040956076234579086
218522,USED TOYOTA LAND CRUISER VAN,8703,8704,0.4703475534915924,8703,0.28059712052345276,8702,0.24601921439170837
166147,VALVE GP - VALVE GP - SOL 1270575 1361679,8481,8481,0.9835262894630432,8409,0.008076552301645279,8412,0.0023309444077312946
3447,PRINGLES,1105,1902,0.01972106099128723,7318,0.017471959814429283,9403,0.017257777974009514
27280,BABY JELLY 20 X 72 PCS SIZE 120 GM,3304,3305,0.7113680243492126,3304,0.09776479005813599,1806,0.0770888403058052
242432,BIPOLAR HIGH FREQUENCY CORD FOR KARL STORZ AUTOCON III 400 LENGTH 400 CM WITH RFID CODING SYSYTEM,9018,8544,0.22698302567005157,8536,0.12105483561754227,8517,0.07673857361078262
36278,HTH CLEAR BLU,3824,6109,0.02616446278989315,3208,0.025044089183211327,3204,0.023949138820171356
102403,1 7 8 Weatherford Spring Jar Red Kit 400 1875 90 0,7320,2204,0.12390300631523132,8481,0.09521232545375824,7320,0.07211091369390488
123374,EMGINE REPAIR KIT,8409,3822,0.09233111888170242,8708,0.06589900702238083,9031,0.05934882536530495
112372,SOCKET SPANNER SET 1 / 2 6 PTS,8204,8204,0.8217979669570923,7307,0.03609180822968483,8536,0.02831888385117054
131514,FUENACE HEAD,8416,8708,0.04080954194068909,8714,0.034424636512994766,6505,0.03121442347764969
184643,REFRECTOR,8512,8421,0.047757588326931,8708,0.04720789194107056,8536,0.03352062776684761
137688,STANDARD S . M . I CAGE FOR ABOVE COMPLETE WITH METAL UPON VENTURI EPOXY COATED,8421,9026,0.050269052386283875,7307,0.04608963429927826,3917,0.04455683380365372
29598,ANT BACTERIAL SOAP,3401,3401,0.7277756333351135,3402,0.07860860973596573,3305,0.03699390962719917
109379,ALUMINIUM ASSEMBLY STAGE UNASSEMBLED ,7616,9406,0.10502564162015915,7308,0.06914549320936203,7606,0.06791973859071732
135985,FILTER FUEL . 2000,8421,8421,0.9869102835655212,8424,0.002045124303549528,3402,0.0016163522377610207
252582,BED AND STOOL,9401,9403,0.6714208126068115,9401,0.2147039920091629,9404,0.038874998688697815
55238,RETAINER AND SEAL - CRAN,4016,4016,0.20623695850372314,8484,0.14652422070503235,8708,0.09210427105426788
132152,MARKETING MATERIAL SUPER 45 BUDWEISER CLADDING FRONT FACING CLADDING INCLUDES A SET OF 2 SIDE DECALS,8418,7606,0.12395914644002914,7308,0.07919581979513168,7610,0.0742323100566864
74717,MUSLIM DRESS BAIBUI ,6208,6204,0.30516090989112854,6214,0.11304207146167755,6114,0.10226890444755554
39906,JG - PLUG IN ANGLE CONNECTOR D 8,3917,8536,0.5665373802185059,8544,0.07484747469425201,3917,0.0746573731303215
164282,FRL WITH GAUGE,8481,9026,0.3941422700881958,9017,0.07388414442539215,8423,0.043076273053884506
146634,COMPETE PLOUGH UNASSEMBLED KISHAN BUFFALO,8432,8432,0.308220773935318,8433,0.19362430274486542,8437,0.04842960089445114
8875,KELLOGSS COCOPOS,1904,2103,0.03139073774218559,1902,0.031050769612193108,1904,0.02533341571688652
196016,AXIS T 8129 EXTENDER ALIMENTARE,8529,8536,0.1320614516735077,8483,0.07021959125995636,8431,0.06835837662220001
178164,500 KVA DIESEL GENERATOR ENGINE,8502,8502,0.6159704923629761,8408,0.18554386496543884,8501,0.1515658050775528
240783,VISION RESEARCH PHANTOM CINESTATION IV,9007,8528,0.1501268744468689,9018,0.1170581728219986,9022,0.08691295236349106
180361,SUPPLY OF 15 MVA 66 / 33 KV POWER TRANSFORMER WITH ACCOCIATED ACCESSORIES,8504,8504,0.7871401906013489,8502,0.0783579871058464,8537,0.042484819889068604
17713,RECYCLE BASE OIL SN 300,2710,2710,0.7910558581352234,3403,0.03486396372318268,8421,0.02853938564658165
16383,CRUSHED ROCK SAMPLES BETWEEN 1 - 2 KG EACH SOILS STANDARD REFERENCE MATERIALS,2517,2517,0.39139318466186523,2523,0.08331847190856934,2505,0.07528166472911835
127859,SENA PUMP 1 25 HP,8413,8413,0.9805573225021362,8414,0.01109389029443264,8501,0.0015503648901358247
93964,HDG TRIANGLE CROSSARM,7308,8301,0.06282718479633331,8204,0.06184900924563408,7307,0.05160195007920265
81221,SWIMMING CAP,6505,6505,0.2403860241174698,6506,0.2074338048696518,9004,0.09278160333633423
201795,RELAY MN 12,8536,8536,0.2594473958015442,8544,0.08217278122901917,8517,0.039188943803310394
75556,FACE TOWEL 30 * 30 FACE,6213,6302,0.1749514490365982,5802,0.0613393671810627,6307,0.05787825211882591
221289,NISSAN NP 300 YD 25 4 WD D / C STANDARD WHITE MODEL AR 0006 CHASSIS ADNCPUD 22 Z 0089582 ENGINE YD 25960469 T,8704,8704,0.8763347864151001,8702,0.03763510286808014,8703,0.03511133790016174
130358,REAR AMBULANCE COMPARTMENT FAN ASSISTED VENT WITH DIVISION ONLY ,8414,3922,0.14083737134933472,8415,0.09232104569673538,8708,0.07000017166137695
161603,GGD 020 HONING WHEEL 0 MK 475,8478,8483,0.28028634190559387,8708,0.2161944955587387,8431,0.07075503468513489
2477,CHAI,0902,3204,0.015753675252199173,2103,0.014995485544204712,3304,0.011731714941561222
99581,NUT HEX FLAT WASHER 8 MM FOR BUCKET BOLT,7318,7318,0.9913370609283447,7415,0.0062508354894816875,8205,0.0007296201656572521
63066,PAPER CUP 9 OZ WITH HANDLE 1000 HOTPACK PC 9 H 1000 PCS ,4823,4823,0.44062313437461853,3921,0.20654821395874023,3924,0.08923503756523132
266104,PEN BALL - POINT BLUE / BOX - 10 FILE 21033524,9608,9608,0.21626272797584534,8203,0.10093711316585541,9611,0.06179534271359444
211516,INTERNATIONAL TRACTORS LTD SONALIKA,8701,8701,0.5565553307533264,8704,0.05896328389644623,8716,0.04811431095004082
41910,Reflective stickers yellow each,3919,9608,0.23366695642471313,8310,0.15893064439296722,3919,0.1314132809638977
173154,Fixed Disk,8483,8471,0.17618724703788757,8473,0.1349278837442398,8523,0.09955509752035141
188291,BATON,8517,8518,0.05222887173295021,9608,0.052173368632793427,9206,0.026957642287015915
207604,35 MM X 4 C PSC / XLPE / PVC,8544,3917,0.3202750086784363,3916,0.1354496031999588,8544,0.05834900215268135
11110,CONFECTIONERY,2101,8516,0.06916014105081558,1905,0.05855857580900192,7323,0.05289575085043907
243299,KEEORTHESIS,9018,3004,0.08452779799699783,3822,0.05780358612537384,2106,0.042880456894636154
33121,DUME 40 EC DIMETHOATE 40 % EC PACKING IN 250 ML / BOTTLE 10 L / CARTON,3808,3808,0.35421621799468994,3004,0.15677829086780548,3822,0.057510290294885635
115523,FURNITURE TRANSPORT TOOL,8207,8206,0.23792186379432678,8205,0.13608644902706146,8431,0.07362709194421768
92583,HB TEE 40 MM,7307,3917,0.2728063762187958,7307,0.16083745658397675,7318,0.0690448209643364
259752,SPORTLIGHT RUBBER 12 V 55 W HALOGEN,9405,9405,0.3189825415611267,8539,0.24437235295772552,8512,0.06217275187373161
16857,AGO NAVIG 8 PRIDE,2710,6105,0.06570875644683838,6109,0.05733521282672882,6203,0.03842993080615997
249283,SPEED INDICATORS,9029,9029,0.40717658400535583,9026,0.1384764015674591,9031,0.12863844633102417
170348,CLUTCH RELEASING BEARING,8482,8482,0.7363749146461487,8483,0.1656617671251297,8708,0.07184447348117828
48361,PVC ARTICLES INCL . FOR RELIGIOUS PURPOSES ,3926,3204,0.18770118057727814,4911,0.04332800582051277,4901,0.041777994483709335
134225,ATLAS 30 5 MIC SPUN SEDIMENT CARTRIDGE,8421,8421,0.11422901600599289,3901,0.04099518805742264,3822,0.03645561635494232
78772,USED CLOTHING GRADE 2 ,6309,6309,0.9947332143783569,6114,0.0010005005169659853,6203,0.0007128379074856639
122122,Stainless steel argon arc welding wire,8311,7408,0.32961738109588623,7217,0.1751093864440918,8311,0.17271257936954498
233034,NEW CKD MOTORCYCLE HUONIAO CHS LJEPCJL 06 MA 020092 125 CC YOM 2021,8711,8711,0.9999585151672363,8703,1.1130129678349476e-05,8714,1.0746619409474079e-05
8230,GRACE GREEN BANANA CHIP 85 G,1902,1806,0.498721182346344,1704,0.2560444474220276,1905,0.12440195679664612
226806,GEARBOX COVER,8708,8708,0.5456365346908569,8483,0.0845995619893074,8714,0.05894165113568306
69475,SWEATSHIRT COTTON STRETCH,6105,6205,0.062138210982084274,6203,0.05113683268427849,5407,0.04304609075188637
89533,PRIME PREPAINTED GALVALUME STEEL COILS SIZE . 0.250 MM BMT X 1000 MM X C MAROON,7210,7210,0.19081319868564606,7606,0.07496531307697296,7208,0.06515789777040482
189811,MOBILE PHONE S 4,8517,8517,0.9509525299072266,8471,0.014872086234390736,8527,0.005186703521758318
131240,DAIKIN BRAND NEW SPLIT TYPE AIR CONDITIONERS 21033913,8415,8415,0.28167369961738586,8414,0.167291522026062,8421,0.13275982439517975
175823,FULL GASKET SET CUMMINS 5220529920 PQB,8484,8708,0.09978895634412766,8409,0.07639621943235397,8481,0.06055322661995888
219414,USED TOYOTA RAV 4 2006 SILVER AT PETROL 2360 CC ACA 36 - 5009046 COOJPN,8703,8703,0.9829965233802795,8704,0.01221887394785881,8711,0.0019127372652292252
52571,OTANI 18.4 - 38 / 10 F 39 TT T ,4011,4011,0.9868864417076111,4013,0.0021730598527938128,7307,0.001273759757168591
176592,SEAL BUSHING,8484,4016,0.22490108013153076,8431,0.05836483836174011,8483,0.057275597006082535
185154,M 7 R . 2 C 8558 LAMP INSPECTION 5 W LED,8513,9405,0.6695225238800049,8539,0.25542697310447693,8512,0.06267451494932175
193300,KCB Tanzania Cards 25,8523,8523,0.788101851940155,4909,0.077886663377285,4911,0.020090559497475624
45009,PLASTIC PACKAGING MATERIAL,3923,3923,0.15515299141407013,3920,0.1074143648147583,4821,0.08753032982349396
79083,700 BAGS OF EVA SLIPPERS,6402,6305,0.13561604917049408,4202,0.10976360738277435,3923,0.10799316316843033
19013,SEALANT BATCH NO 315 N . W 70 ML 1016322 ,2833,3909,0.16002380847930908,3214,0.1558583825826645,3907,0.14886102080345154
202447,SUPPLY MODE ABB ACS 800 - 704 - 0640 - 7 DSU D 4 380 - 690 V,8536,8504,0.5497472882270813,8536,0.18963545560836792,8537,0.08318301290273666
190129,OPTICAL CABLE PARTS DLC / PC DLC / PC DLC / PC MULT - MODE 80 M . 2 CORE 0.03 M / 0.34 GYFJH - 2 A 1 A OM 2 7 MM . 2 MM LSZH ARMORED BRANCH,8517,8544,0.3650096654891968,8536,0.1619647890329361,8517,0.09783061593770981
118956,THUMB LOCK,8301,8301,0.7740273475646973,7318,0.0607144832611084,8302,0.03726036101579666
182079,CENTRAL,8509,8708,0.07277333736419678,8483,0.04943962022662163,8431,0.0397208146750927
404,VARIUS MEAT CUTS,0208,2103,0.08577638864517212,2002,0.06305641680955887,2001,0.05589497089385986
40465,PVC FITTINGS UDTC 01 COUPLING 40,3917,3917,0.4857371747493744,7307,0.12842674553394318,4009,0.06915643811225891
162843,CONCRETE PLASTIC MOULD,8480,8480,0.19401758909225464,6902,0.08100917190313339,3816,0.04799355939030647
206415,SKKT 162 / 18 E THYRISTOR POWER BLOCK,8541,8504,0.19916418194770813,8502,0.08145644515752792,8501,0.07552275061607361
59981,DUPLEX BOARD GREAY BACK,4810,9403,0.07876111567020416,9610,0.03299375995993614,8708,0.031301889568567276
43543,DKL . M 310 URINE FLUSH VALVE,3922,8481,0.6407997012138367,9018,0.20814259350299835,9019,0.04063635692000389
184152,HEADLAMP LEFT,8512,8512,0.8626242876052856,9405,0.0472867488861084,8539,0.03269355744123459
251985,TIME ATTENDANCE REGISTER,9106,8423,0.204276904463768,4901,0.14144708216190338,9106,0.07343267649412155
95422,TROLLEY CABLE 100 T CABLE LG 137 M STL,7312,8544,0.9219117760658264,8536,0.016440754756331444,7312,0.012283788993954659
90500,GABION MATTRESS 3 * 1 * 0.3 M ZINC,7223,2520,0.061975836753845215,2523,0.055942948907613754,3214,0.04397881403565407
14650,MARTINI ROSSO VERMOUTH 6 X 75 CL GEX 15 % RO EP 16,2205,2208,0.6676623225212097,2204,0.17016370594501495,2202,0.04520447924733162
65016,PICTURES JOHANNESBURG SOUTH AFRICA TEMPLE 5.5 X 11,4911,4911,0.4975398778915405,8306,0.08099228143692017,9701,0.07650904357433319
192016,PA WALL SPEAKER ASX - 612 BT,8518,8518,0.8997214436531067,8527,0.039751481264829636,8517,0.011807957664132118
92900,NIPPLE ST JIC M 3 4 IN X JIC M BH 1 2 IN WITH LOCK NUT,7307,7318,0.8530730605125427,7415,0.044220730662345886,7320,0.015972528606653214
180273,SPARE PARTS FOR BLOW MOULDING MACHINE - AC DISPLAY DRIVE,8504,8477,0.4759095311164856,8422,0.051084376871585846,8414,0.04900273680686951
208041,CABLE COIL,8544,8544,0.6409233808517456,8536,0.10433884710073471,7312,0.0321473628282547
141397,DOUBLE GIRDER OVERHEAD CRANE,8426,8426,0.4379301369190216,8428,0.11788972467184067,7308,0.11248649656772614
75029,EMERY ROSE PLUS CUT AND SEW SCALLOP TRIM DRESS,6210,6204,0.3185567259788513,6104,0.11832990497350693,6214,0.10321357101202011
110625,NUMERICAL BLADE,8202,8207,0.08556046336889267,9017,0.07430709153413773,8203,0.07164839655160904
186161,CANTEEN MICROWAVE,8516,8516,0.35170042514801025,7323,0.16636459529399872,7321,0.06623571366071701
83398,SPARE PARTS FOR RE - ROLLING MILL & FURNACE,6814,8477,0.1466861367225647,8438,0.05310393497347832,8514,0.04724553972482681
45120,PRINT RECLOSABLE STATIC SHIELDING BAGS,3923,4821,0.10196400433778763,3919,0.08980614691972733,3923,0.08810223639011383
17818,TECHINICAL WHITE OIL LIGHT EX / GR - 1,2710,3402,0.063497394323349,8421,0.048057932406663895,2710,0.04593910276889801
14180,ASSORTED BEVERAGE WINE ,2204,2208,0.1552335023880005,2203,0.14528195559978485,2202,0.11774236708879471
